ID,SKU,Name,component_1,component_1_qty,component_2,component_2_qty
7971,kom/spu+him,KOMBO Spray Up + Him Coffee,spu1,1,him1,1
7935,kom/tad5(30tab)+tad20(4tab),KOMBO Ekstra Pil Harian 5mg + Pil Hujung Minggu 20mg,tad5/10tab,3,tad20/4tab,1
7932,kom/tad20+Him,Kombo Pil Hujung Minggu + Him Coffee,him1,1,tad20/4tab,1
6103,iqn100/12tab,Pil Biru Generik 100mg (Langganan 3 Bulan),iqn100/4tab,3,,
6101,tad5/30tab,Pil Harian 5mg (Langganan Bulanan),tad5/10tab,3,,
5428,tra/30tab,Pil Tahan Lama (Langganan 3 Bulan),tra/10tab,3,,
2058,kom/spu+tad20,KOMBO Spray Up + Pil Hujung Minggu 20mg,spu1,1,tad20/4tab,1
2057,kom/spu+iqn50,KOMBO Spray Up + Pil Biru 50mg,spu1,1,iqn50/4tab,1
2056,kom/spu+iqn100,KOMBO Spray Up + Pil Biru 100mg,iqn100/4tab,1,iqn100/4tab,1
2055,kom/tad20+tra,KOMBO Pil Tahan Lama + Pil Hujung Minggu 20mg,tra/10tab,1,tad20/4tab,1
2054,kom/iqn100+tra,KOMBO Pil Tahan Lama + Pil Biru 100mg,tra/10tab,1,iqn100/4tab,1
2053,kom/spu+tra,KOMBO Spray Up + Pil Tahan Lama,spu1,1,tra/10tab,1
503,kom/tad5+tad20,KOMBO Pil Harian 5mg + Pil Hujung Minggu 20mg,tad5/10tab,1,tad20/4tab,1
489,him9,HIM Coffee by Dr Samhan x 9,him1,9,,
488,him3,HIM Coffee by Dr Samhan x 3,him1,3,,
467,spu10,Spray Up x 10 botol,spu1,10,,
466,spu5,Spray Up x 5 Botol,spu1,5,,
465,spu3,Spray Up x 3 Botol,spu1,3,,
